,labels,text
146,3,coronavirus is not stopping this gogo come party w/ march 27th ladies free b4 11pm at 1212 hst nepic twitter com/cjbc9gnq1c
147,3,just waiting for the usual race baiters to tell us it is racist not to get the coronavirus
148,0,it is not because of covid he also suffering from kidney problem
149,3,in a year dave will be one laughing or deal gets busted he goes back to running bs and penn stock recovers
150,1,covid19 family video
151,0,sad news but it needs to be done brace ourselves we can do this …
152,2,"if anyone thinks coronavirus is ""just"" the common cold think again"
153,1,can some pharmacist teach his wife how to make medicine so that within few days she can make us medicine for covid19 …
154,3,"for those out there that think is ""not that serious"" please reconsider and take the social distancing measures seriously"
155,2,northern italy quarantines 16 million people over coronavirus fears
156,0,well at least the covid status is under govt now no reporting on covid unless govt approves …
157,1,good work
158,1,and do corona free your busines with complete digital marketing by maps solution … …
159,1,after 80 days going to for caring us twitter com/xw0kxdswis – at indira gandhi international airport (del)
160,0,that is the reason amidst the covid19 there is a rise many political theories
161,1,beautiful song for corona awareness
162,0,sindh govt is fighting with corona for safety of people and federal govt is fighting with sindh govt for face saving
163,2,⁦⁩ in ⁦⁩ on managing now & planning preventative strategies for future crises nb written late feb 2020 ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩
164,2,seriously just fuck this week coronavirus car problems and now brawl mods are dying i'm done
165,1,today is april fools day but we are closed inside the house happy april fool day twitter com/rxgz9fu0km
166,2,my neighbours niece has corona virus ngl i'm starting to get more shook of leaving my house now
167,1,lockdown reading book
168,1,me to life when ramazan and lockdown hit together
169,1,‘love your neighbor as yourself ' matthew 22 39 niv
170,3,iranians defy authorities in bid to access holy sites closed amid coronavirus
171,1,lockdown impact 2 grinning_face grinning_face_with_big_eyes
172,2,if players train with the fear of __19 in back of their mind how it that going to help
173,3,i did not know about 50 cent corn dog day at sonic today because all that is on my damn timeline is coronavirus bs
174,1,the song will be on repeat during this lockdown good vibes
175,0,today coronavirus cases in bangladesh 2300/dead 22 day by day increasing
176,3,archdiocese holds online masses during coronavirus shutdown
177,0,corona patients highest in a single day so far in india 316 shame
178,1,excellency that will be a good time pass in lockdown
179,3,so sen burr screwed millions by lying about what he did was tell america the same things as so trump screwed millions too
180,3,you could not make this up the health minister probably infected the whole uk cabinet
181,0,eye on china india backs 62 nation coalition's push for probe into covid 19 origin – at bhiwandi
182,0,cases surpass 3 million as the u s death toll from tops 55 00
183,1,easy load wali ban jao iss lockdown mein scene onn hai grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes
184,3,once again has killed help to citizens of this country why do republicans hate americans
185,1,we are proud to be the digital soldiers of india thanks csc for giving us this platform #करोना ー19
186,0,scaling positions in corona where we will head india in deep trouble pls come together
187,0,death by numbers how vietnam war and coronavirus changed the way we mourn
188,2,if i get the coronavirus i'm sneezing on every cat owner i see
189,0,uk records lowest daily virus death toll since start of lockdown govt
190,0,we are fighting for this for the last 5years atlast you people wake up from the deep took corona to fight for hindu causes
191,1,wfh w on top *whisky pic twitter com/8dwiodzxto
192,3,bloomberg anchor scolds warren for democratic obstruction on coronavirus stimulus
193,0,40 yr old bijbehara woman dies of covid 19 at skims j&k toll reaches 18 _19
194,3,900 confirmed cases with a daily curfew and some assholes still not taking lockdown seriously
195,1,corona has cleaned our environment folded_hands rose – at lochan tea limited
196,0,cant find a network in ghatkopar for last 4hours what wrong with u guys pehle corona abhi
197,0,coronavirus cases in india last 5 days pic twitter com/wudri8ckee
198,3,ahh kidding lockdown it is fuckin picnic going here 4 7 p m
199,3,wait is not he the idiot who said the coronavirus is just the common cold no worries
200,3,lockdown 2 0 indo uk exchange citizens responsibility duty and scientific temper is of paramount importance
201,1,covid 19 research reviews – bcm family
202,3,will it go ahead with coronavirus threats
203,2,sixth annual 'ride for ronnie' motorcycle ride and concert postponed due to coronavirus concerns
204,0,2400 corona deaths if your family members …
205,2,tati and donna kissing is like watching the corona virus and ebola mutate it was so gross
206,2,afghans think that drinking green tea and burning esfaand will cure coronavirus
207,0,india registers biggest single day spike of 8 392 cases total tally rises to 1 90 535 death toll climbs to 5 394 /d1rz3fl6cc
208,3,'too late' farage criticises open borders while britons locked down in crisis /dimymoj3qx
209,1,_fighting_corona ~creating a better world pic twitter com/ytgcjunlva
210,1,every kind of support can be provided to if you are kind enough to acknowledge relentless efforts against through animation
211,0,go for it one from this group die from covid 19 will less be one idiot
212,3,you all know one thing the muslims will not fight us for the toilet paper
213,2,may be a medicine to avoid coronavirus
214,0,telugu whatsapp keeping itself busy with islamophobia horrible pic twitter com/efoazdpaq6
215,0,madhya pradesh ー19 first in india to 1 00 …
216,2,how can u be afraid of the corona virus but not an std i'm curious
217,0,apparently the complete lockdown on weekends will continue for 1 month
218,2,this corona virus got african parent paranoia on a all time high lol
219,0,covid 19 africa 6 075 cases on the african continent 214 deaths & 478 recoveries |
220,1,maharashtra records 1 008 new covid 19 cases in 24 hrs highest in a single day
221,3,kim jong un coronavirus crisis as north korea despot flees
222,1,may this month bring the peace happiest tranquility and the end of of covid 19 happy new month
223,1,we are looking forward
224,0,fourth death in gurugram due to coronavirus infection 129 fresh cases | gurgaon news times of india …
225,0,freedom is worth missing fragrance of mountains and its touch – at rajbagh
226,0,if these are sanction free amrikee corona say zayada khatarnaak hein
227,1,lockdown learning series on school enrollment techniques …
228,0,india's speciality hospital what is a lockdown coronvairus lockdown what a lockdown will look like for you via
229,2,coronavirus un ghana staff to work from home as colleague gets infected
230,1,i spite of the lockdown i can still get a cake made by one of our township ladies so a grand cake cutting
231,3,your the common enemy and your worse than the coronavirus and only when your out of office will the us be safe
232,0,it is apparently happening everywhere _19india
233,2,coronavirus trying to invade the demburnbidvirus cure vote red vote trump 2020
234,0,new coronavirus losing potency top italian doctor says | article [amp] | reuters …
235,0,utter negligence by pti govt in imposing an effective lockdown in the country
236,3,with all the schools shut down the will create its own style blip
237,3,discrimination amid pandemic pakistan refuses to give food to hindus as coronavirus rages via
238,0,worst crisis since world war2 source un chief
239,3,“hahaha look everyone he shit himself ” nonono i swear i have coronavirus
240,3,'corporate socialists' denounced as trump considers fracking industry bailout amid coronavirus outbreak via
241,1,fun redefined in the lockdown …
242,1,your scientists and researchers deserve more than your players
243,2,catching the corona virus would be a problem but it would also solve a shit ton of my problems
244,1,taher shah's new song is out it will end corona virus in the world now
245,3,it is some the government is not telling people about the corona virus
246,2,stay home now coronavirus is hiding in plain sight
247,0,covid 19 third death in jammu and in last 24hrs toll 31 …
248,1,( ) enjoying the swimming pool during the lockdown ー19 _19india
249,3,the coronavirus is bad but think of all these poor people wiping their ass with paper towels
250,2,the corona virus is bad but the rampant out break of fuckwitism is coming a close second
251,2,i'm old enough to remember when plastic straws killing turtles was the world's big concern
252,1,their are many youths who are willing to contribute during this covid 19 pandemic this is the right opportunity for them …
253,2,corona & locust are okay the deadliest & dangerous virus should be tackled first
254,3,thank you assholes apparently ice cream is needed in order to survive twitter com/ftouddzo83
255,1,good this is the best method to tackle corona virus presently
256,1,playing along to one of my favourites ‘kohinoor' by pic twitter com/udlca9pxxn
257,2,them stop playing games about the corona virus and take it serious me
258,0,yes and people fighting with hunger and poverty r also less vulnerable to …
259,1,"be safe stay home red_heart coronavirus cases raised to ""1 million"" as of today fearful_face be safe guys"
260,2,where does the coronavirus come from why new diseases keep appearing in communist china vox
261,3,coronavirus deaths spanish government warns worst yet to come read more
262,1,my new drawing _mepic twitter com/vjbtccnhfo
263,2,federal reserve slashes interest rates to confront coronavirus pandemic
264,0,adp jobs report companies cut 27 00 jobs before the worst of the coronavirus …
265,0,you are the only one sleeping if you were awake the covid19 deaths would have been way less pic twitter com/ejwcjfazeh
266,3,hm this corona virus is getting serious chale @ dansoman
267,2,i used hand sanitizer before it was everyone is bestfriend if i run out it will be my absolute worst nightmare
268,2,i just want the inevitable coronavirus episode
269,1,come kwa baba dance cover video shot by wellbeingbill …
270,2,oh jeez i realized i posted things about the coronavirus and i might get followed
271,0,2019 2020 taking in easy way bihar is going in past in the last 10 years bcoz of poor governance of
272,3,coronavirus pandemic is 'accelerating ' warns who chief as global death toll keeps rising rapidly — rt world news
273,0,bangladesh awami league ministers say they have the power to stop the corona virus shala's head has become bad
274,1,good morning medam india fight corona wonderful leadership hon pm ji and thanks support sir and ji
275,2,10 practical tips to help avoid coronavirus when you leave the house
276,1,i hope everyone happy and you too june is halfway of the year 2020 i thinkabout corona virus its farewell
277,2,mullahs who are hiding foreign mullah in mosques & spreading corona in addition to making bombs disaster
278,3,california moving homeless to hotels in scramble to prevent coronavirus explosion on the streets
279,1,from a jam packed crowd to a zero did not stop sparkles night two of heart_suit
280,2,he should have to block coronavirus in person
281,2,which virus is more dangerous
282,1,and finally 19 ( ) accepts in credit goes to _media
283,3,why do u call idiots olike nishant verma on the show we will be compelled to stop watching i wish him corona
284,0,isay b corona patient samjh k dafan kia gya tha 2 dib bad reports ai and she was suffering from cancer
285,0,and the new trimester starts covid much for term break
286,1,amazing descriptive sketch _19 …
287,0,old days will not return it is corona time
288,3,reading things like this before going to bed is a bad idea bad for the brain read it in the morning and ruin tomorrow instead
289,0,this time it is about indian economy after the covid19 pandemic pls watch comment and share …
290,3,this was back when coronavirus was not even a thing lol
291,0,okay i will make myself safely at home during corona break out
292,1,going from strength to strength is covid 19 in gurgaon
293,1,without test but clapping beating thaali lighting candles will chase corona winking_face_with_tongue face_with_tears_of_joy
294,0,lufthansa to close it is airbus operation click the link pls do like it _19 _the_silence
295,2,conspiracy theory the coronavirus was caused by the millennial fad of eating “the booty like groceries ”
296,1,after lockdown womens women’s_room beaming_face_with_smiling_eyes
297,2,cleveland apl is reducing adoption fees to clear out shelters in midst of coronavirus threat
298,2,trump looked sick and was congested during the press conference spoke a few words and bounced hmmmmm
299,2,who tryna go with me on a $299 7 day cruise to the bahamas while ppl still scared of coronavirus
300,1,corona +this song – at maldives beach
301,1,what a project in corona time this will detect your mask properly and monitor you you can not cheat with camera
302,3,brexit means coronavirus vaccine will be slower to reach the uk everything about is shit
303,2,beating my nail biting habit to avoid the coronavirus is so hard
304,0,yes u are right rather than a loud speech govt should work on corona
305,3,son wtf is this rt breaking two lakers players reportedly have tested positive for coronavirus now
306,2,italy went from 10k people infected to 15k in the last 48 hours
307,3,[video] coronavirus 70 to 80% of dutch flower production destroyed
308,1,assalam o alaikum sunflower good morning red_heart have a nice day ahead beating_heart will you reply my salam eyes
309,0,the lockdown should have been delayed by a week
310,1,great work by salman khan keep helping our corona worriers …
311,0,i was told that covid19 affects the lungs and not ass holes so why the masks face_with_tears_of_joy
312,3,eu não acredito que as aulas foram realmente canceladas corona vírus eu te odeio
313,2,i know the corona virus is real but the panic that is causing is crazy
314,0,my new bed has literally broken under the weight of this lockdown the privileges and pains to endure
315,0,if you do not understand then you are missing the craziest game of
316,1,going to be on the lines of this lockdown do something special for your mom/cook her a meal etc etc
317,0,i overslept and missed 2 online classes and that is on covid 19
318,0,sigh i had it for the first time just a couple of weeks before lockdown definitely miss it it was so good
319,0,kim there are people dying of covid …
320,0,covid19 kills another event as dolpa43 becomes 100% online
321,0,rip sajid wajid great loss for bollywood he passed due to covid 19 heart and kidney disease 2020 is such a worst year ー19
322,3,lowkey you all stupid for joking around about the corona virus like wake up people it is real
323,0,domicile order an ‘ill timed causal attempt' by goi ‘demands order be put in abeyance till covid pandemic is over' …
324,1,will nature conservation remain a priority in post corona bangladesh | the daily star
325,2,2020 ncaa tournament games to be played without fans in attendance due to threat of coronavirus via
326,0,please register fir against this fake doctor spreading misinformation on coronavirus and order youtube to block this account
327,1,stars of viral pandemic movie contagion reunite to offer coronavirus advice
328,2,mate i'm so tired of hearing about corona virus now like people are absolutely panicking and it is just mad
329,0,lockdown achievement pic twitter com/p4qqav879c
330,2,americans in vietnam are safe they will join forces in vietnam to join in the war against the covid virus 19 …
331,1,thank him for increasing cases of covid also coz haircuts more important for you
332,2,why containment measures are critical for fighting the spread of coronavirus
333,3,heard coronavirus ass told people ass need ass
334,3,democrats are obstructing passage of a bipartisan relief bill
335,3,i really hope i get corona virus lol deadass
336,1,noida today _19
337,0,lockdown depression anxiety lahat na lord guard my heart loudly_crying_face broken_heart folded_hands_light_skin_tone
338,3,#
339,2,coronavirus testing on kids is a nervous next step on way to covid 19 vaccine
340,3,if i was ever tested positive from coronavirus i'd bitchslap everyone around me
341,3,tell me why snapchat acting up again smh let me find out snapchat got the
342,1,isolated detainee pn dapat covid this rona will be treated as urti in few months lol …
343,3,forced monogamy a la coronavirus
344,2,the virus was screaming noooo never felt i'd feel sorry for the coronavirus
345,0,chief minister neiphiu rio launched the self declaration covid19 nagaland app at kohima today
346,2,new getting to
347,1,pavilion
348,0,clearly planned by 2 divert attention from as reported last night like riots plotted by during visit …
349,0,please burn corona infected dead persons in electric creeamatorium
350,1,time to slow down stay home stay safe …
351,3,probably going to take a mass shooting for people to shut up about the coronavirus for a few days
352,1,my fun family activity that we did during this lockdown to keep our spirits and bond with my family join /zsrhgxevp0
353,3,you all better wash your hands and quit eating bats i'm tired of hearing about the coronavirus mess
354,1,"lockdown also made the people ""brave and strong"" about their family issues and relationships"
355,1,ka follow kare ghar me rahe surakshit rahe allah bless you pic twitter com/cpsg4k01f5 – at india
356,3,i need to cancel my hotel due to coronavirus and you guys keep ignoring my calls and chats
357,1,haha literally twitter com/y9ohlgnoft
358,1,senior citizens are more prone to _19 they are hermetically sealed grinning_face_with_smiling_eyes
359,1,enjoying the by staying at
360,0,19 usa in trouble now worst hit by covid 19 around 18900 positive cases 4055 deaths so far
361,2,is not nothing more hurtful than when you book the flight and got to cancel because of corona virus i hate it here
362,0,"""coronavirus tweets from indian authorities"" …"
363,1,a good gesture by as he distributed food packets among lorry drivers as the dhabas been closed due to
364,3,rnc chairman absolutely destroys democrats over coronavirus virus inaction via
365,1,heart goes out to the people of italy Italy green_heart maple_leaf
366,2,ebola & corona joined to hit the world …
367,2,i just hope this virus gets under control before tick season starts or else we will be dealing with corona with lyme
368,2,but do not you think the dramatic announcement of a 21 day lockdown by our 8pm superman also contributed to this panic
369,1,making lemang using blue_heart rose since 24hrs make ur life easy as abc smiling_face – at king abdulaziz medical city riyadh
370,0,still good despite lockdown since 10 th of march
371,0,corona virus microbe no one want her she is rejected man_gesturing_NO
372,2,some (many ) people get the coronavirus but do not get ill as in have no symptoms so probably will not get tested anyway
373,0,earth is healing due to lockdown thnx to corona virus har cheaz main allah ki hikmat hai
374,3,prince william the same prince who mocked coronavirus ten days ago
375,3,pinche coronavirus arruina todo
376,1,issa date once lockdown ends inshaallah (and corona too) red_heart
377,2,breaking a school in sydney's northern suburbs has closed due to coronavirus fears
378,0,respected sir what is the time to fight together with corona but to stay away from far away victory will be ours god is with us
379,3,this viral coronavirus rant from a tennessee nurse will make your day (video) via
380,0,19 the us leads the world in confirmed deaths
381,1,sunset stop motion captured by me using app sun
382,0,and corona slipped in
383,0,corona is going to give many bad news
384,0,new of ncr 400 cases in last three days 48 cases reported today morning twitter com/uzzhcvwvso
385,2,ann coulter on china and cheap tvs expensive flu
386,1,this how corona changed our life style twitter com/o6yalu3nhc
387,3,seriously？is corona virus touchable stuff？
388,0,boring twitter com/vs94ivbhzt – at puri cafe street
389,3,xi jinping's coronavirus body of lies
390,1,webinar on int'l earth day via zoom on april 22 for joining pl note meeting code looking forward participation ー19
391,0,appesement politics to please alliance and poor adminostation is root cause of state high covid cases …
392,3,coronavirus bout to ruin the playoffs can that shit wait till like hockey season dont nobody care about that shit
393,2,coronavirus could hit housing hard as australia teeters on edge of recession the guardian
394,2,ー19 whoever gives a shit i'm in eastern europe no one is wearing masks everyone thinks thinks this is the flu they are right
395,3,why are you stopping cm this is ur stupid move towards politics
396,1,no excuses please of my lockdown countdown … …
397,1,both my sons giving a try for rap challenge bout corona live recorded by me and edited by twitter com/ihtipvkyyb
398,0,"coronavirus disappearing in italy show this to ""intellectuals"" who say lockdowns do not work …"
399,1,we win covid 19 fight sir
400,1,hilarious good way to keep corona free …
401,1,finally accepts thanks to godi media
402,3,five things to help stop the spread of coronavirus
403,0,its completely horrible even than covid 19 thank goodness there is a cure now
404,3,this really fucking with my job now
405,0,donald trump urged to suspend h 1b visa program after job loss amid covid 19 layoffs ndtv …
406,2,if coronavirus was a person i'd kick its fucking ass i hate coronavirus
407,2,the coronavirus is just the flu with some bop in it
408,3,i hope this balding white man gets corona virus for getting in the sauna naked filthy little fuck head
409,2,nikki sixx on coronavirus 'dampen down the hysteria'
410,2,at what point is crashing the economy a bigger threat than coronavirus
411,1,my fun family activity that we did during this lockdown to keep up our spirits and bond with my family join /bsfxvb70gy
412,0,first plasma therapy patient in recovers from coronavirus
413,2,you know who will be unaffected by the coronavirus the most deplorable of deplorables they will not get sick
414,0,how deals with is the funniest thing on the internet tragic for north koreans only
415,0,un has failed to act on covid 19 …
416,3,this is going very very badly
417,3,corona sun today ironic pic twitter com/fuvsrrbddc
418,1,crona virus is blessing for it industry _19 #الرياض #الكويت_كورونا
419,2,lmao if the coronavirus is not that serious why am i getting less hours and stressing about rent somebody lying
420,1,a place with lots of memory
421,1,due to one set of people some country utilising opportunity and make fun of entire community thing
422,3,lying snake senator dumped up to $1 6 million of stock after reassuring public about coronavirus preparedness
423,2,"""major north american sports leagues agree to restrict locker room access amid coronavirus fears"""
424,0,family is suffering from covid but no body ready to listen is it time of virus at community level
425,2,infected people without symptoms might be driving the spread of coronavirus more than we realized
426,2,coping with stress by having the best little quarantine buddy snuggled in my lap twitter com/g2ub6n8zjj
427,2,fears drive immigrants to sgv gun shops via
428,0,covid 19 etisalat offers free internet video voice calls for two months …
429,0,ayatollah west does not want its virus failures to be seen sunday 10 may ⁣ ⁣⁣ _day ⁣⁣ ⁣⁣
430,3,mark my words next up on the coronavirus hit list will be anthony weiner mark my damn words
431,3,in italy people are getting fined if they leave the house due to coronavirus it is mad
432,1,good evening sir my self nishant solanki i have vaccine for coronavirus but it is not sure so plss read this
433,0,announced 1crore compensation if a doctor die of covid infected while treating covid patient
434,2,gmc concerned about doctors exploiting coronavirus fears
435,0,shit is crazy o 36 cases u apply lockdown 100 cases u lift lockdown partially face_with_tears_of_joy
436,2,trump blocked aggressive coronavirus testing because he worried it would hurt his reelection
437,1,‘nurses' join the covid 19 battle thank rss for help … via
438,2,trump is panicking does not panic does not panic needs a change
439,3,boy that is sad i hate this virus
440,1,manila eases world's longest lockdown …
441,0,was lockdown series for this /8uujnn6a5b
442,3,everyone selling stuff like coronavirus sale covid clearance 50% off only for a limited time offer ends with the world
443,0,corona check up bihar shame shame pic twitter com/xgpg43vndg
444,3,everything is strategy by as corona virus is garbage shit virus lol
445,1,… our new lockdown special corona song is going viral here's the link to the video …
446,3,student loan debt has nothing to do with the coronavirus this lady needs to shut up
